Havayolu Şirketi,Uçak Tipi,ülke sınırları,Yıl,Hava Durumu,Ölü Sayısı,Kurtulan Sayısı
Germanwings,Airbus A320-211,0,1950,,150,0
Blue Wing,Antonov An-28,0,1953,,19,0
Blue Wing,Antonov An-28,0,1953,,0,8
Blue Wing,Antonov An-28,0,1954,,8,0
Paninternational,BAC One-Eleven,1,1954,,22,99
Air France,,0,1956,,0,41
Sriwijaya Air,Boeing 737-500,-1,1959,,62,0
Lufthansa,Lockheed L-1049G Super Constellation,0,1959,,36,3
Lufthansa,Convair CV 440,1,1960,,46,0
Lufthansa,Boeing 747-130,0,1961,,59,98
Lufthansa,Airbus A320-211,0,1961,,2,68
Ethiopian Airlines,Boeing 737-8AS,0,1962,1,90,0
THY,Douglas C-47A-75-DL (DC-3),1,1962,,15,0
Air France,Lockheed L-749A Takımyıldızı,0,1963,,4,38
THY,Douglas DC-3,1,1964,,5,16
THY,Douglas DC-3,1,1965,1,7,6
THY,Douglas DC-3,1,1966,,25,
Air Charter,Avro Super Trader IV,1,1966,1,12,0
İskandinav Havayolları,Sud Aviation SE-210 Caravelle I,0,1967,,42,
THY,Fokker F-27,1,1970,,28,
THY,Fokker F-28,1,1971,,11,
Middle East Airlines,Vickers Viscount 745 D,0,1972,,120,
THY,Douglas DC-3,1,1972,,3,
THY,Fokker F-28,1,1973,,66,7
THY,Fokker F-28,1,1974,,41,0
THY,McDonnell Douglas DC-10,1,1974,,154,
THY,Fokker F-28,1,1974,,39,4
THY,Boeing 727,1,1974,1,47,13
THY,Boeing 727,1,1974,,57,19
THY,Boeing 728,1,1975,,6,0
THY,Avro RJ-100,1,1975,,75,4
Atlasjet,McDonnell Douglas MD-83,1,1976,,57,
Pegasus,Boeing 737-800,1,1976,,0,0
Asiana Airlines,Airbus A330-300,0,1977,,0,
THY,Airbus A330,1,1978,,0,
Royal Air Maroc,,0,1978,,0,
Onur Air,,1,1979,,0,
Pegasus,Boeing 737,1,1981,,0,
Rus Nordwind,Airbus A321,0,1983,,,
Pegasus,Boeing 737-86J,0,1983,,3,180
Armavia,Airbus A320 -211,0,1984,0,113,0
Aloha Hava Yolları,Boeing 737-297,1,1985,,1,94
American Airlines,Boeing 767-223ER,1,1985,,97,0
American Airlines,Boeing 757-223,1,1986,,64,
United Airlines,Boeing 767-200,1,1986,,65,0
United Airlines,Boeing 757-222,1,1987,,44,0
Bar Harbor Airlines,Beech 99,1,1988,1,8,0
Asiana Airlines,Boeing 777-28EER,1,1988,,2,305
Air Fiji Airlines,Embraer EMB 110 Bandeirante,1,1989,,17,0
ValuJet Airlines,McDonnell Douglas DC-9,1,1989,,110,0
Azerbeycan Hava Yolları,Tupolev Tu-134B-3,1,1990,,52,30
Azerbeycan Hava Yolları,Antonov An-140,1,1990,,23,0
Air France,Airbus 330-200,0,1991,,228,0
Air France,concorde,1,1991,,113,0
Air Inter,Airbus A320-111,1,1992,,87,9
THY,McDonnell Douglas DC-10,1,1992,,346,0
THY,Boeing 727,1,1992,,154,0
Air China,Boeing 767-200ER,0,1993,1,129,37
US Airways,Airbus A320-214,1,1993,,0,150
China Airlines,Airbus A300 B4-622R,1,1993,,264,7
Japan Airlines,Boeing 747SR-46,1,1993,,520,4
Iran Air,Airbus A300B2-203,1,1994,,290,0
American Airlines,Airbus A300 B4-605R,1,1994,,260,0
China Eastern Airlines,McDonnell-Douglas MD-11,1,1994,,2,253
China Eastern Airlines,Bombardier CRJ-200ER,1,1995,,53,0
China Eastern Airlines,McDonnell Douglas MD-82,1,1995,1,2,78
China Southern Airlines,Boeing 737-300,1,1996,,141,0
China Southern Airlines,Boeing 737-300,1,1996,1,9,39
Henan Airlines,Embraer E190 LR,1,1997,,44,52
Sichuan Airlines,Airbus A319-133,1,1997,,0,128
British Airways,BAC One-Eleven 528FL,1,1997,,0,87
Tianjin Airlines,190,1,1997,,2,99
Xiamen Air,Boeing 737-800,0,1997,,0,165
Flydubai,Boeing 737-8KN,0,1998,1,62,0
British Airways,Boeing 777-236ER,0,1998,,0,152
Pakistan International Airlines,Airbus A320-214,1,1998,,97,2
TAM Airlines,Airbus A320-233,1,1999,1,187,0
TAM Airlines,100,1,1999,,95,0
Atlantic Airways,İngiliz Havacılık ve Uzay 146-200A,1,1999,,4,12
Asiana Airlines,Boeing 747-3B5,0,1999,0,229,25
Asiana Airlines,Boeing 777-28EER,0,2000,0,3,304
Asiana Airlines,Boeing 737-5L9,1,2000,,68,48
Korean Air,Boeing 707-321B,0,2000,,2,107
Korean Air,Boeing 747-4B5,1,2001,1,0,395
Korean Air,McDonnell Douglas DC-10-30,1,2001,1,75,124
Korean Air,Boeing 707-3B5C,1,2001,,115,0
KLM Royal Dutch Airlines,Boeing 747-206B,1,2001,,248,0
Pan American World Airways,Boeing 747-121,1,2001,,335,61
Martinair Airlines,McDonnell Douglas DC-10,0,2001,1,56,284
Martinair Airlines,McDonnell Douglas DC-8-55CF,0,2001,,191,0
Iraqi Airways,Boeing 737-270C,0,2002,,63,43
Caspian Airlines,McDonnell Douglas MD-83,1,2003,,0,144
Caspian Airlines,Tupolev Tu-154,0,2004,,168,0
Baikal Airlines,Tupolev Tu-154M,1,2004,,124,0
Aeroflot Flight,Tupolev Tu-154B-2,1,2005,0,110,1
Ukraine International Airlines,Boeing 737-8KV,0,2005,,176,0
Faraz Qeshm Airlines,Yakovlev Yak-40,1,2005,1,30,0
Iran Aseman Airlines,ATR 72 -212,1,2006,1,66,0
Spanair,McDonnell Douglas MD-82,1,2006,,154,18
Scandinavian Airlines,McDonnell Douglas MD-81,1,2007,1,0,129
Alitalia,Douglas DC-9-32,0,2007,,46,0
Alitalia,Douglas DC-8-43,0,2007,,94,0
All Nippon Airways,Boeing 727-81,1,2008,,133,0
Japan Airlines,Douglas DC-8-53,1,2008,,82,5
Indian Airlines,Boeing 737-2A8,1,2008,,48,17
Japan Airlines,McDonnell Douglas MC-8,0,2009,1,34,45
Skymark Airlines,Boeing 737-81D (WL),1,2009,,0,76
Air Canada Airlines,Airbus A320-211,1,2009,,0,138
Air Canada Airlines,McDonnell Douglas DC-8-63,1,2009,,109,0
Air Transat,Airbus A330-243,0,2010,,0,306
Air Transat,Airbus A310-308,0,2010,,,271
SCAT Airlines,Bombardier CRJ200,1,2010,1,21,0
Cyprus Airways,de Havilland DH.106 Kuyruklu Yıldız 4B,0,2012,,66,0
Tuninter,ATR 72 – 202,0,2013,,16,23
Malaysia Airlines,Boeing 777-200ER,1,2013,,,
Scottish Airlines,Avro York,0,2013,,50,0
Aeroméxico,McDonnell Douglas DC-9-32,0,2013,,64,0
EgyptAir,Airbus A320-232,0,2014,,66,0
EgyptAir,Boeing 767-366ER,0,2015,,217,0
LAM Mozambique Airlines,Kucaklayıcı E190,0,2015,1,33,0
Partnair,Convair CV-580,0,2015,,55,0
Uzbekistan Airways,Yakovlev Yak-40,1,2016,1,37,0
TAROM,Airbus A310-324,1,2016,,60,0
TAROM,Boeing 737-300,1,2018,1,0,123
Si Fly,ATR 42 -300,0,2018,1,24,0
Singapore Airlines,Boeing 747-412,0,2018,1,83,96
